"group";"uniqueId";"mapre01";"mapre02";"mapre03";"mapre04";"mapre05";"oapre01";"oapre02";"oapre03";"oapre04";"oapre05";"sepre01";"sepre02";"sepre03";"sepre04";"mapre01.1";"mapost02";"mapost03";"mapost04";"mapost05";"oapost01";"oapost02";"oapost03";"oapost04";"oapost05";"sepost01";"sepost02";"sepost03";"sepost04";"sepost05"
"B";"B-17";1;1;0,5;1;1;1;1;1;1;2;NA;NA;NA;NA;1;0;0,5;1;1;1;0;1;1;2;6;6;6;7;5
"B";"B-16";1;1;1;2;0;1;1;1;2;2;7;6;5;6;1;1;1;2;1;1;1;1;2;2;7;6;4;6;7
"B";"B-15";1;1;1;2;1;1;1;1;2;2;NA;NA;NA;NA;1;1;1;2;1;1;1;1;2;2;NA;NA;NA;NA;NA
"B";"B-14";1;1;0,5;NA;1;1;1;1;1;2;6;6;4;6;1;1;1;1;1;1;1;1;2;2;6;4;4;5;6
"B";"B-13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;4;5;NA;1;NA;NA;NA;1;1;NA;2;2;5;5;5;6;6
"B";"B-12";1;1;1;2;1;1;1;1;2;2;6;5;5;7;1;1;1;0;0;1;1;1;2;2;6;6;6;6;7
"B";"B-11";1;1;0;2;NA;1;1;0;1;1;7;7;6;5;1;1;1;1;1;1;0;1;1;2;7;7;7;5;6
"B";"B-10";1;0;1;1;0;1;1;1;1;2;5;4;2;6;1;1;1;1;1;1;1;1;1;2;5;5;3;6;6
"B";"B-9";0;1;1;2;1;1;1;1;2;2;5;6;6;7;0;1;1;1;1;1;1;1;1;2;6;5;5;5;6
"B";"B-8";0;1;1;0;1;1;1;2;2;2;3;4;4;6;0;0;1;1;1;1;1;2;2;2;2;6;6;7;4
"B";"B-6";1;1;1;0;0;1;1;NA;2;NA;NA;NA;NA;NA;1;1;1;2;1;1;1;1;2;2;NA;NA;NA;NA;NA
"B";"B-5";1;1;1;0;0;1;1;1;1;1;NA;NA;NA;NA;1;0;0;1;1;1;0;1;1;2;NA;NA;NA;NA;NA
"B";"B-4";1;1;0;2;1;1;1;1;1;2;NA;NA;NA;NA;1;0;1;2;1;1;0;0;1;2;NA;NA;NA;NA;NA
